No.,Time,Delta ,Source,Destination,Protocol,Length,TCP Segment Len,Info
7,28.0161247,0,10.230.184.102,10.230.184.187,DNS,78,,Standard query 0x926f A www.exploit-db.com
8,28.01631791,0.000193212,10.230.184.102,10.230.184.187,DNS,78,,Standard query 0x0b71 AAAA www.exploit-db.com
9,28.46348266,0.447164754,10.230.184.187,10.230.184.102,DNS,94,,Standard query response 0x926f A www.exploit-db.com A 192.124.249.13
10,29.94145246,1.4779698,10.230.184.102,10.230.184.187,DNS,88,,Standard query 0x2928 A contile.services.mozilla.com
11,30.00246483,0.061012364,10.230.184.187,10.230.184.102,DNS,212,,Standard query response 0x2928 A contile.services.mozilla.com CNAME mozilla.map.fastly.net A 146.75.89.91 NS ns1.fastly.net NS ns2.fastly.net NS ns3.fastly.net NS ns4.fastly.net
31,33.02166787,3.01920304,10.230.184.102,10.230.184.187,DNS,78,,Standard query 0x926f A www.exploit-db.com
32,33.02556355,0.003895688,10.230.184.187,10.230.184.102,DNS,94,,Standard query response 0x926f A www.exploit-db.com A 192.124.249.13
33,33.0258687,0.000305145,10.230.184.102,10.230.184.187,DNS,78,,Standard query 0x0b71 AAAA www.exploit-db.com
36,33.088262,0.062393296,10.230.184.187,10.230.184.102,DNS,138,,Standard query response 0x0b71 AAAA www.exploit-db.com SOA ns1.gandi.net
52,33.45274201,0.364480011,10.230.184.102,10.230.184.187,DNS,82,,Standard query 0x8fa1 A ocsp.starfieldtech.com
60,33.48904994,0.036307929,10.230.184.187,10.230.184.102,DNS,203,,Standard query response 0x8fa1 A ocsp.starfieldtech.com CNAME ocsp.godaddy.com.akadns.net A 192.124.249.22 A 192.124.249.36 A 192.124.249.24 A 192.124.249.23 A 192.124.249.41
61,33.48936258,0.000312644,10.230.184.102,10.230.184.187,DNS,82,,Standard query 0x81bf AAAA ocsp.starfieldtech.com
62,33.5280327,0.038670116,10.230.184.187,10.230.184.102,DNS,186,,Standard query response 0x81bf AAAA ocsp.starfieldtech.com CNAME ocsp.godaddy.com.akadns.net SOA internal.akadns.net
122,50.16593612,16.63790342,10.230.184.102,10.230.184.187,DNS,74,,Standard query 0xc093 A www.google.com
123,50.16609597,0.00015985,10.230.184.102,10.230.184.187,DNS,74,,Standard query 0x8a90 AAAA www.google.com
124,50.17190629,0.005810321,10.230.184.187,10.230.184.102,DNS,202,,Standard query response 0xc093 A www.google.com A 142.251.153.119 A 142.251.154.119 A 142.251.157.119 A 142.251.150.119 A 142.251.155.119 A 142.251.156.119 A 142.251.151.119 A 142.251.152.119
125,50.22814172,0.056235429,10.230.184.187,10.230.184.102,DNS,298,,Standard query response 0x8a90 AAAA www.google.com AAAA 2001:4860:4829:7700:: AAAA 2001:4860:4827:7700:: AAAA 2001:4860:482c:7700:: AAAA 2001:4860:482a:7700:: AAAA 2001:4860:4826:7700:: AAAA 2001:4860:482b:7700:: AAAA 2001:4860:4828:7700:: AAAA 2001:4860:482d:7700::
131,50.35294107,0.124799352,10.230.184.102,10.230.184.187,DNS,70,,Standard query 0xc9c9 A github.com
132,50.37788399,0.024942915,10.230.184.187,10.230.184.102,DNS,309,,Standard query response 0xc9c9 A github.com A 140.82.121.4 NS dns1.p08.nsone.net NS dns2.p08.nsone.net NS dns3.p08.nsone.net NS dns4.p08.nsone.net NS ns-1283.awsdns-32.org NS ns-1707.awsdns-21.co.uk NS ns-421.awsdns-52.com NS ns-520.awsdns-01.net
133,50.37808132,0.000197331,10.230.184.102,10.230.184.187,DNS,70,,Standard query 0xbfc8 AAAA github.com
134,50.40960709,0.031525777,10.230.184.187,10.230.184.102,DNS,154,,Standard query response 0xbfc8 AAAA github.com SOA ns-1707.awsdns-21.co.uk
142,50.44194966,0.03234257,10.230.184.102,10.230.184.187,DNS,70,,Standard query 0x8b83 A o.pki.goog
143,50.44247137,0.000521709,10.230.184.102,10.230.184.187,DNS,70,,Standard query 0x6080 AAAA o.pki.goog
144,50.47228835,0.029816981,10.230.184.187,10.230.184.102,DNS,121,,Standard query response 0x8b83 A o.pki.goog CNAME pki-goog.l.google.com A 142.251.29.94
145,50.48865788,0.016369522,10.230.184.187,10.230.184.102,DNS,133,,Standard query response 0x6080 AAAA o.pki.goog CNAME pki-goog.l.google.com AAAA 2c0f:fb50:4003:801::2003
163,50.7982448,0.309586922,10.230.184.102,10.230.184.187,DNS,76,,Standard query 0xebe5 A ocsp.sectigo.com
169,50.861182,0.062937203,10.230.184.187,10.230.184.102,DNS,158,,Standard query response 0xebe5 A ocsp.sectigo.com CNAME ocsp.comodoca.com.cdn.cloudflare.net A 172.64.149.23 A 104.18.38.233
170,50.86146659,0.000284592,10.230.184.102,10.230.184.187,DNS,76,,Standard query 0x9ae4 AAAA ocsp.sectigo.com
172,50.88871734,0.027250749,10.230.184.187,10.230.184.102,DNS,182,,Standard query response 0x9ae4 AAAA ocsp.sectigo.com CNAME ocsp.comodoca.com.cdn.cloudflare.net AAAA 2a06:98c1:310a::6812:26e9 AAAA 2606:4700:4408::ac40:9517
248,54.73259822,3.843880878,10.230.184.102,10.230.184.187,DNS,83,,Standard query 0x6c26 A github.githubassets.com
249,54.73273415,0.000135928,10.230.184.102,10.230.184.187,DNS,89,,Standard query 0x16e7 A avatars.githubusercontent.com
250,54.73273652,0.000002377,10.230.184.102,10.230.184.187,DNS,89,,Standard query 0xa0e4 AAAA avatars.githubusercontent.com
251,54.73648894,0.003752419,10.230.184.187,10.230.184.102,DNS,147,,Standard query response 0x6c26 A github.githubassets.com A 185.199.111.215 A 185.199.110.215 A 185.199.109.215 A 185.199.108.215
252,54.73706169,0.000572743,10.230.184.102,10.230.184.187,DNS,83,,Standard query 0x9f24 AAAA github.githubassets.com
